 answer_q1,answer_q2,answer_q3,answer_q4,answer_q5,age,gender,occupation
7,3,10,difference-honoring,yes,46,female,farmer
5,2,8,difference-honoring,no,47,male,contractor
0,0,10,difference-honoring,no,25,male,student
4,1,9,difference-honoring,no,19,female,student
10,0,8,difference-denying,no,21,female,student
4,0,10,difference-honoring,no,19,female,student
4,1,3,difference-denying,yes,54,female,life-nurturer
4,2,7,difference-honoring,no,21,female,student
7,0,4,difference-removing,no,20,female,student
8,0,5,difference-honoring,no,21,female,student